city,phone_service,multiple_lines,internet_service,internet_type,contract_type,"tenure (months)",customer_status
"Frazier Park",Yes,No,Yes,Cable,"One Year",9,Stayed
Glendale,Yes,Yes,Yes,Cable,Month-to-Month,9,Stayed
"Costa Mesa",Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
Martinez,Yes,No,Yes,"Fiber Optic",Month-to-Month,13,Churned
Camarillo,Yes,No,Yes,"Fiber Optic",Month-to-Month,3,Churned
Midpines,Yes,No,Yes,Cable,Month-to-Month,9,Stayed
Antelope,Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Stayed
"Point Reyes Station",No,No,Yes,DSL,"One Year",34,Stayed
"Daly City",Yes,No,Yes,DSL,"One Year",45,Churned
"Morgan Hill",No,No,Yes,Cable,Month-to-Month,1,Churned
Ahwahnee,Yes,Yes,No,None,"One Year",50,Stayed
"Carnelian Bay",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,13,Churned
Alpaugh,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,23,Stayed
Korbel,Yes,No,No,None,Month-to-Month,4,Churned
"Palomar Mountain",No,No,Yes,DSL,Month-to-Month,1,Churned
Parlier,Yes,No,Yes,"Fiber Optic","One Year",55,Stayed
"Glen Ellen",Yes,No,No,None,"One Year",26,Stayed
"Moss Beach",Yes,No,Yes,"Fiber Optic","One Year",37,Stayed
"Los Angeles",Yes,No,No,None,"One Year",49,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic","One Year",66,Stayed
Calexico,Yes,No,No,None,"One Year",67,Stayed
Stockton,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,55,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,59,Stayed
Yermo,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,27,Stayed
"San Diego",Yes,No,Yes,DSL,Month-to-Month,2,Churned
Fremont,Yes,No,Yes,DSL,"One Year",27,Stayed
"San Jose",Yes,No,Yes,Cable,"One Year",25,Stayed
Tujunga,No,No,Yes,DSL,Month-to-Month,29,Stayed
Lodi,Yes,No,Yes,Cable,"One Year",14,Stayed
"El Portal",Yes,No,Yes,"Fiber Optic","One Year",35,Stayed
Farmington,Yes,No,Yes,"Fiber Optic",Month-to-Month,29,Stayed
Tulelake,Yes,Yes,Yes,DSL,"One Year",64,Stayed
Coleville,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,39,Stayed
"Desert Hot Springs",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,40,Churned
"North Hollywood",Yes,No,Yes,"Fiber Optic",Month-to-Month,11,Churned
Inverness,Yes,Yes,Yes,Cable,Month-to-Month,6,Stayed
"Santa Rosa",Yes,Yes,Yes,DSL,Month-to-Month,30,Stayed
"San Jose",Yes,No,No,None,Month-to-Month,27,Stayed
Wilmington,Yes,Yes,Yes,"Fiber Optic","One Year",70,Stayed
Modesto,Yes,Yes,Yes,"Fiber Optic","One Year",57,Stayed
"San Diego",Yes,No,Yes,DSL,"One Year",58,Stayed
"Rancho Palos Verdes",Yes,Yes,Yes,DSL,Month-to-Month,16,Stayed
